neigh_name,neigh_number,year,week,min_temperature
SANTO CRISTO,3,2016,44,19.5091742167085
SANTO CRISTO,3,2016,45,21.0020542322182
SANTO CRISTO,3,2016,46,18.4932103972671
SANTO CRISTO,3,2016,47,17.8561428528857
SANTO CRISTO,3,2016,48,19.7547792601107
SANTO CRISTO,3,2016,49,20.8927327733245
SANTO CRISTO,3,2016,50,19.4038328792861
SANTO CRISTO,3,2016,51,21.8165338051201
SANTO CRISTO,3,2016,52,25.1347979317323
CAJU,4,2016,9,20.9590485778306
CAJU,4,2016,10,22.5230319853974
CAJU,4,2016,11,22.998969176016
CAJU,4,2016,12,22.4938924016018
CAJU,4,2016,13,23.8869563000359
CAJU,4,2016,14,23.643280026432
CAJU,4,2016,15,23.9081738887379
CAJU,4,2016,16,23.9053345200671
CAJU,4,2016,17,18.7329676145557
CAJU,4,2016,18,17.3831941289794
CAJU,4,2016,19,19.0125685014937
CAJU,4,2016,20,18.9718061902469
CAJU,4,2016,21,17.0355401968192
CAJU,4,2016,22,20.2149717820624
CAJU,4,2016,23,15.8670157118406
CAJU,4,2016,24,13.7906833962723
CAJU,4,2016,25,16.8694719658043
CAJU,4,2016,26,17.5254873414032
CAJU,4,2016,27,16.2192907463553
CAJU,4,2016,28,17.0891717708401
CAJU,4,2016,29,14.7009105170879
CAJU,4,2016,30,17.2067304340163
CAJU,4,2016,31,18.1039459756893
CAJU,4,2016,32,15.8338930353982
CAJU,4,2016,33,16.9418208085777
CAJU,4,2016,34,15.7257341698803
CAJU,4,2016,35,19.0124402157727
CAJU,4,2016,36,20.3886243748326
CAJU,4,2016,37,20.0987880321125
CAJU,4,2016,38,18.2476885779109
CAJU,4,2016,39,17.605239599591
CAJU,4,2016,40,17.3928446764734
CAJU,4,2016,41,19.7184051406077
CAJU,4,2016,42,21.6578289302769
CAJU,4,2016,43,18.6007260942379
CAJU,4,2016,44,19.3354654836445
CAJU,4,2016,45,20.9568418566985
CAJU,4,2016,46,18.2308432153018
CAJU,4,2016,47,17.5692890005128
CAJU,4,2016,48,19.7418699911948
CAJU,4,2016,49,20.8810407587732
CAJU,4,2016,50,19.3502100953
CAJU,4,2016,51,22.1587237345772
CAJU,4,2016,52,24.7794377894662
CENTRO,5,2016,9,20.9332284426554
CENTRO,5,2016,10,22.5164357566363
CENTRO,5,2016,11,23.5065832978041
CENTRO,5,2016,12,22.6620009925238
CENTRO,5,2016,13,23.9780928528008
CENTRO,5,2016,14,24.1608279449354
CENTRO,5,2016,15,23.9687705408571
CENTRO,5,2016,16,23.017337648863
CENTRO,5,2016,17,18.8046339049075
CENTRO,5,2016,18,17.7684816771054
CENTRO,5,2016,19,18.9141636969465
CENTRO,5,2016,20,19.322317195266
CENTRO,5,2016,21,17.5699539042101
CENTRO,5,2016,22,20.6312071910352
CENTRO,5,2016,23,16.3194396668277
CENTRO,5,2016,24,13.9562500301556
CENTRO,5,2016,25,16.807691833715
CENTRO,5,2016,26,17.5590723142039
CENTRO,5,2016,27,16.5988397132436
CENTRO,5,2016,28,17.6998101533912
CENTRO,5,2016,29,14.8168398701967
CENTRO,5,2016,30,17.5015589929684
